"","species","scientificname","taxa","commonname","censustarget","unidentified","rodent","granivore","minhfl","meanhfl","maxhfl","minwgt","meanwgt","maxwgt","juvwgt"
"1","BA","Baiomys taylori","Rodent","Northern pygmy mouse",1,0,1,1,6,13.25064599,15,6,9.449086162,18,NA
"2","PB","Chaetodipus baileyi","Rodent","Bailey's pocket mouse",1,0,1,1,16,26.03125,47,10,31.87351518,79,18.9950495
"3","PH","Chaetodipus hispidus","Rodent","Hispid pocket mouse",1,0,1,1,21,25.12820513,28,18,30.71794872,48,24
"4","PI","Chaetodipus intermedius","Rodent","Rock pocket mouse",1,0,1,1,18,21.96261682,24,10,17.46666667,28,10
"5","PP","Chaetodipus penicillatus","Rodent","Desert pocket mouse",1,0,1,1,11,21.47860867,27,4,17.61851292,42,11.66603416
"6","DM","Dipodomys merriami","Rodent","Merriam's kangaroo rat",1,0,1,1,21,35.88388533,50,13,43.52721657,66,26.39257813
"7","DO","Dipodomys ordii","Rodent","Ord's kangaroo rat",1,0,1,1,15,35.5316847,64,12,49.03951957,85,29.47101449
"8","DS","Dipodomys spectabilis","Rodent","Banner-tailed kangaroo rat",1,0,1,1,39,49.92785388,58,12,119.9275604,190,76.82
"9",NA,"Neotoma albigula","Rodent","White-throated woodrat",1,0,1,0,21,32.07571429,42,30,162.5347738,280,83.75221239
"10","OL","Onychomys leucogaster","Rodent","Northern Grasshopper Mouse",1,0,1,0,12,20.33408578,39,7,31.12671977,56,18.43243243
"11","OT","Onychomys torridus","Rodent","Southern grasshopper mouse",1,0,1,0,11,20.02598091,31,5,24.05599577,46,15.53456221
"12","PF","Perognathus flavus","Rodent","Silky pocket mouse",1,0,1,1,7,15.44696189,22,4,7.899749373,16,5.866666667
"13","PE","Peromyscus eremicus","Rodent","Cactus mouse",1,0,1,1,11,19.94703118,30,7,21.98281643,71,15.14615385
"14","PL","Peromyscus leucopus","Rodent","White-footed mouse",1,0,1,1,10,20.44604317,23,8,22.92647059,35,13
"15","PM","Peromyscus maniculatus","Rodent","Deer Mouse",1,0,1,1,12,20.30291971,32,7,21.7079252,39,13.8125
"16","RF","Reithrodontomys fulvescens","Rodent","Fulvous harvest mouse",1,0,1,1,15,17.51898734,20,9,13.4125,20,NA
"17","RM","Reithrodontomys megalotis","Rodent","Western harvest mouse",1,0,1,1,6,16.36377427,23,4,10.72923441,21,7.145833333
"18","RO","Reithrodontomys montanus","Rodent","Plains harvest mouse",1,0,1,1,11,15.62352941,17,5,10.76470588,16,NA
"19","SF","Sigmodon fulviventer","Rodent","Tawny-bellied cotton rat",1,0,1,0,19,25.94850949,38,13,68.75806452,199,25.8
"20","SH","Sigmodon hispidus","Rodent","Hispid cotton rat",1,0,1,0,20,28.67895879,39,16,88.46170213,205,36.21052632
"21","SO","Sigmodon ochrognathus","Rodent","Yellow nosed cotton rat",1,0,1,0,15,25.65853659,36,15,55.41463415,105,42
